,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,INSUFICIENCIA RENAL CRONICA TERMINAL (ETAPA 4 Y 5), Valganciclovir,Anti-IL-2R,"ARA-II (Losartán, otro)",Azatriopina,Cefazolina,Ceftazidima ,Ceftriaxona ,Ciclosporina,Cotrimoxazol ,Desmopresina ,Eritropoyetina ,Estatinas,Ganciclovir ,HBP,Hierro ,IECA LP,IGF1 o Somatomedina ,Imipenem,Inhibidor de la mTOR,Isoniazida,IVIG inmunoglobulina hiper inmune,Metilprednisona ,Metronidazol ,Micofenolato    ,Midazolam,PEG enema,Prednisona,Rituximab,Somatrotopina ,Tacrolimus,Timoglobulina,Vancomicina ,,,,,,,,,,,,,,,,,,,,,,,
3,CÁNCER CERVICOUTERINO,Ondansetrón,Amikacina,Ceftriaxona,Cisplatino,Clorfenamina,Cloxacilina,Dexametasona,Factor Estimulante de Colonia,Fluconazol,Furosemida,Manitol,NaCL,Omeprazol,Ondasentrón,Paclitaxcel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4, ALIVIO DEL DOLOR Y CUIDADOS PALIATIVOS POR CÁNCER AVANZADO,Aceite de ricino,Ácido valproico,AINEs,Alendronato,Alprazolam,"Betametasona,",Buprenorfina,Carbamazepina,Clonazepam,Clorpromazina,Codeína 6%,"Dexametasona,",Diazepam,Domperidona,Etosuximida,Fenitoína,Fenobarbital,Fentanilo,Fosfatos,"Hidrocortizona,",Ibuprofeno,Lorazepam,Magnesio sulfato,Metadona ,Metamizol sódico,Metilprednisolona,Metoclopramida,Morfina,Naproxeno,Ondasetrón,"Oxicodona,",Pamidronato,Paracetamol,Prednisona,Tramadol,Vaselina líquida,,,,,,,,,,,,,,,,,,,
5,INFARTO AGUDO DEL MIOCARDIO,Ácido Acetilsalicilico ,Amiodarona ,Atorvastatina ,Captopril,Carvedilol ,Cimetidina,Clopidogrel,Enalapril ,Enoxaparina ,Espironolactona ,Estatinas ,Famotidina,Furosemida ,Heparina bajo peso molecular ,Lidocaína,Morfina ,Nitroglicerina,Propanolol ,Propranolol ,Ranitidina,Trombolíticos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DIABETES MELLITUS TIPO 1,Glucagón ,Insulina de acción prolongada ,Insulina humana cristalina ,Insulina ultra rápida ,Insulina humana isofana (NPH) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DIABETES MELLITUS TIPO 2,Ácido acetilsalisílico ,Análogos de insulina de acción prolongada ,Análogos de insulina de acción rápida,Antagonista del receptor angiotensina II ,Estatinas ,IECA ,Insulina humana cristalina,Insulina humana isofana (NPH),Insulina NPH,Metformina ,Sulfonilureas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CÁNCER DE MAMA EN PERSONAS DE 15 AÑOS Y MÁS,Ácido Zoledrónico,Amikacina,Anastrazole ,Calcio + Vitamina D,Capecitabina,Cefadroxilo ,Ceftriaxona,Ciclofosfamida,Clorfenamina,Cloxacilina,Dexametasona,Docetaxcel,Domperidona,Filgrastrin,Fluconazol,Fluoruracilo,Gemcitabina,Heparina bajo peso molecular,Ibandonatro,Inhibidor aromatasa,Letrozole ,Loperamida,Metoclopramida,Metotrexato,Nitrofurantoína,Ondansetrón,Paclitaxel,Pamidronato,Tamoxifeno,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DISRAFIAS ESPINALES,Cefadroxilo,Nitrofurantoína,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ENDOPROTESIS TOTAL DE CADERA EN PERSONAS DE 65 AÑOS Y MÁS CON ARTROSIS DE CADERA CON LIMITACIÓN FUNCIONAL SEVERA ,Amoxicilina,Bloqueadores H2,Cefazolina,Ceftriaxona,Diclofenaco sódico,Fierro,Heparinas de bajo peso molecular,Ranitidina,Tramadol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ESQUIZOFRENIA,Ácido Valproico,Aripiprazol,Carbonato de litio,Clorpromazina,Clozapina,Decanoato de Flupentixol,Filgrastin,Flufenazina Decanoato,Haloperidol Inyectable,Haloperidol Oral,Lorazepam,Olanzapina,Quetiapin,Quetiapina,Risperidona,Sertralina,Trihexifenidilo,Venlafaxina,Ziprasidona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
